"Бураго, Дмитрий Юрьевич",0,,0,0,1964,2014,4711,9,15,2,1901,0,2,8,14,3,,,,,,,,,,Бураго Дмитрий Юрьевич,3,5,772,,,,
"Бураго, Юрий Дмитриевич",1,2,0,0,1936,2014,4379,7,15,4,3339,0,2,16,14,1,,,,,,,23,320,4,Бураго Юрий Дмитриевич,28,127,9027,,,,
"Буркин, Игорь Михайлович",1,1,0,0,1948,2010,4765,16,25,0,567,0,2,2,20,1,,,,,,,43,302,4,Буркин Игорь Михайлович,6,,26,,,,
"Бурков, Владимир Николаевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Буссе, Фёдор Иванович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Бутягин, Алексей Сергеевич",0,1,0,0,1881,2013,6727,9,19,0,727,0,2,49,44,2,,,,,,,,,,,,,,,,,
"Буфетов, Александр Игоревич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Бухштабер, Виктор Матвеевич",1,2,0,0,1943,2014,5882,7,15,3,948,0,3,7,18,3,,,,,,,218,2659,16,Бухштабер Виктор Матвеевич,295,757,37807,,,,
"Бюшгенс, Сергей Сергеевич",1,2,0,1,1882,2011,14628,17,32,0,850,0,2,9,30,1,,,,,,,,,,Бюшгенс Сергей Сергеевич ,17,1,1368,,,,
"Вавилов, Александр Александрович",1,1,0,0,1922,2009,6570,19,30,0,2052,0,2,3,39,3,,,,,,,,,,,,,,,,,
"Вагнер, Виктор Владимирович",1,2,0,1,1908,2008,8824,27,42,4,976,0,4,6,24,2,,,,,,,,,,Вагнер Виктор Владимирович ,37,20,3802,,,,
"Вапник, Владимир Наумович",1,2,0,0,1936,2008,6128,29,41,8,3767,0,5,17,31,0,,,vapnik,169184,109,372,,,,Вапник Владимир Н,8,10,2627,,,,
"Варченко, Александр Николаевич",1,2,0,0,1949,2014,4062,4,8,2,654,0,2,9,17,2,,,Alexander Varchenko,9227,45,131,,,,Варченко Александр Николаевич,56,326,14683,,,,
"Васильев, Александр Васильевич (математик)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Васильев, Виктор Анатольевич",1,3,1,0,1956,2010,10585,45,86,6,8134,0,2,39,26,3,,,,,,,45,365,6,Васильев Виктор Анатольевич,90,143,15648,,,,
"Васильев, Николай Александрович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Васильев, Станислав Николаевич",0,2,0,0,1946,2009,7241,27,34,0,1461,0,2,6,22,4,,,,,,,128,1247,10,Васильев Станислав Николаевич,12,44,2566,,,,
"Васильев, Фёдор Павлович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Васин, Владимир Васильевич",1,1,0,0,1941,2010,6044,13,17,0,645,0,2,5,21,3,,,,,,,102,1137,9,Васин Владимир Васильевич,34,112,7453,,,,
"Ващенко-Захарченко, Михаил Егорович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Веденисов, Николай Борисович",1,1,0,0,1905,2016,9467,6,17,0,211,0,2,3,34,0,,,,,,,,,,Веденисов Николай Борисович,2,4,421,,,,
"Веденяпин, Виктор Валентинович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
