 Гиндикин, Семён Григорьевич: 1.308
 Кузьмин, Родион Осиевич: 1.301
 Анисимов, Василий Афанасьевич: 1.3
 Фомин, Владимир Николаевич: 1.3
 Пикус, Давид Львович: 1.3
 Салихов, Владислав Хасанович: 1.3
 Баскаков, Анатолий Григорьевич: 1.298
 Четаев, Николай Гурьевич: 1.298
 Ружанский, Михаил: 1.298
 Шатуновский, Самуил Осипович: 1.293
 Христианович, Сергей: 1.29
 Козлов, Владимир Яковлевич: 1.288
 Королюк, Владимир Семёнович: 1.288
 Морозов, Никита Фёдорович: 1.288
 Севастьянов, Борис Александрович: 1.288
 Ульянов, Владимир Васильевич: 1.288
 Чубариков, Владимир Николаевич: 1.288
 Ядренко, Михаил Иосифович: 1.288
 Большев, Логин Николаевич: 1.288
 Коробейников, Виктор Павлович: 1.278
 Статулявичус, Витаутас Антанович: 1.278
 Млодзиевский, Болеслав Корнелиевич: 1.274
 Стратонович, Руслан Леонтьевич: 1.271
 Коновалов, Анатолий Николаевич: 1.269
 Романов, Владимир: 1.269
 Чарный, Исаак Абрамович: 1.269
 Денисов, Александр Михайлович: 1.269
 Попов, Александр Михайлович: 1.269
 Ченцов, Александр: 1.269
 Лаврентьев, Михаил Михайлович: 1.267
 Есенин-Вольпин, Александр Сергеевич: 1.263
 Кублановская, Вера Николаевна: 1.262
 Говорун, Николай Николаевич: 1.258
 Пенская, Марианна Яновна: 1.256
 Гурьев, Семён Емельянович: 1.25
 Брайцев, Иван Романович: 1.248
 Дмитриев, Николай Александрович: 1.248
 Мирзоев, Карахан Агахан оглы: 1.248
 Стрекаловский, Александр Сергеевич: 1.248
 Нелепин, Рональд: 1.248
 Рабинович, Матвей Самсонович: 1.248
 Иосифовна, Тышкевич Регина: 1.246
 Брашман, Николай Дмитриевич: 1.244
 Джекобсон, Натан: 1.242
 Петросян, Гарегин Бахшиевич: 1.237
 Кузнецов, Александр Геннадьевич: 1.236
 Залгаллер, Виктор Абрамович: 1.235
 Трахтман, Абрам Наумович: 1.235
 Хлебников, Михаил Владимирович: 1.23
 Васин, Владимир Васильевич: 1.229
 Глускин, Лазарь Матвеевич: 1.229
 Товстик, Петр Евгеньевич: 1.229
 Попов, Юрий Петрович: 1.229
 Соколов, Владимир Вячеславович: 1.227
 Крылов, Андрей Серджевич: 1.227
 Вишик, Марко Иосифович: 1.225
 Слонимский, Зиновий Яковлевич: 1.225
 Аристов, Владимир Владимирович: 1.225
 Джрбашян, Мхитар: 1.225
 Голод, Евгений Соломонович: 1.224
 Эпинус, Франц Ульрих Теодор: 1.218
 Джалал: 1.218
 Денисов, Эдисон Васильевич: 1.217
 Перевощиков, Дмитрий Матвеевич: 1.217
 Петришин, Вальтер Володимир: 1.217
 Горский, Владимир Григорьевич: 1.208
 Яновская, Елена Борисовна: 1.208
 Гвишиани, Алексей Джерменович: 1.206
 Бородин, Алексей Михайлович: 1.204
 Васильев, Олег Владимирович (учёный): 1.199
 Чехлов, Валерий Иванович: 1.198
 Абрашин, Вячеслав Николаевич: 1.198
 Тыугу, Энн Харальдович: 1.198
 Наймарк, Марк Аронович: 1.196
 Сусова, Галина Михайловна: 1.19
 Деза, Мишель Мари: 1.188
 Милин, Исаак Моисеевич: 1.188
 Виро, Олег Янович: 1.187
 Боревич, Зенон Иванович: 1.187
 Агаханов, Назар Хангельдыевич: 1.187
 Марджанишвили, Константин Константинович: 1.187
 Поляков, Николай Викторович: 1.187
 Сретенский, Леонид Николаевич: 1.187
 Каляев, Игорь Анатольевич: 1.187
 Мильман, Виталий Давидович: 1.186
 Вольберг, Александр Львович: 1.185
 Петров, Александр Александрович: 1.185
 Назаров, Фёдор Львович: 1.185
 Ашихмин, Валерий Николаевич: 1.179
 Савич, Сергей Евгеньевич: 1.179
 Кадец, Михаил Иосифович: 1.178
 Владимирович, Скороход Анатолий: 1.176
 Налимов, Василий Васильевич: 1.176
 Малинин, Александр Фёдорович: 1.17
 Норден, Александр Петрович: 1.168
 Соболев, Владимир Иванович: 1.168
 Серебряков, Владимир Алексеевич: 1.168
 Васин, Александр Алексеевич: 1.168
 Брадис, Владимир Модестович: 1.158
 Рачинский, Сергей Александрович: 1.158
 Бакиров, Наиль Кутлужанович: 1.158
 Хеннер, Евгений Карлович: 1.157
 Полтерович, Леонид Викторович: 1.156
 Геворкян, Павел Самвелович: 1.156
 Андросенко, Пётр Александрович: 1.149
 Поляк, Борис Теодорович: 1.149
 Виноградов, Аскольд Иванович: 1.146
 Успенский, Яков Викторович: 1.142
 Умов, Николай Алексеевич: 1.142
 Пименов, Револьт Иванович: 1.14
 Шень, Александр: 1.14
 Aleksidze, Merab: 1.139
 Петунин, Юрий Иванович: 1.138
 Жданок, Татьяна Аркадьевна: 1.132
 Игнатовский, Владимир Сергеевич: 1.131
 Веденяпин, Виктор Валентинович: 1.128
 Константинов, Николай Николаевич: 1.128
 Атанасян, Левон Сергеевич: 1.128
 Волович, Игорь Васильевич: 1.128
