 Мощевитин, Николай Германович: 18.92
 Герман, Олег Николаевич: 18.92
 Федоренко, Радий Петрович: 18.91
 Бобылёв, Николай Антонович: 18.91
 Трахтман, Абрам Наумович: 18.84
 Романовский, Всеволод Иванович: 18.82
 Михалевич, Владимир Сергеевич: 18.77
 Брудно, Александр Львович: 18.72
 Костомаров, Дмитрий Павлович: 18.63
 Онищик, Аркадий Львович: 18.57
 Вагнер, Виктор Владимирович: 18.56
 Адодуров, Василий Евдокимович: 18.52
 Никольский, Николай: 18.52
 Демидов, Сергей: 18.35
 Танаев, Вячеслав Сергеевич: 18.31
 Фабрикант, Валерий Иосифович: 18.3
 Золотарёв, Егор Иванович: 18.26
 Поташёв, Максим: 18.24
 Бочкарёв, Сергей Викторович: 18.21
