Виро, Олег Янович: 1.127
Боревич, Зенон Иванович: 1.127
Агаханов, Назар Хангельдыевич: 1.127
Марджанишвили, Константин Константинович: 1.127
Перевощиков, Дмитрий Матвеевич: 1.127
Поляков, Николай Викторович: 1.127
Сретенский, Леонид Николаевич: 1.127
Петришин, Вальтер Володимир: 1.127
Хеннер, Евгений Карлович: 1.127
Полтерович, Леонид Викторович: 1.126
Геворкян, Павел Самвелович: 1.126
Васин, Владимир Васильевич: 1.119
Васильев, Олег Владимирович (учёный): 1.119
Кадец, Михаил Иосифович: 1.118
Абрашин, Вячеслав Николаевич: 1.118
Виноградов, Аскольд Иванович: 1.116
Гурьев, Семён Емельянович: 1.11
Норден, Александр Петрович: 1.108
Чехлов, Валерий Иванович: 1.108
Соболев, Владимир Иванович: 1.108
Серебряков, Владимир Алексеевич: 1.108
Поляк, Борис Теодорович: 1.099
Веденяпин, Виктор Валентинович: 1.098
Деза, Мишель Мари: 1.098
Константинов, Николай Николаевич: 1.098
Рачинский, Сергей Александрович: 1.098
Бакиров, Наиль Кутлужанович: 1.098
Атанасян, Левон Сергеевич: 1.098
Милин, Исаак Моисеевич: 1.098
Волович, Игорь Васильевич: 1.098
Андросенко, Пётр Александрович: 1.089
Ашихмин, Валерий Николаевич: 1.089
Савич, Сергей Евгеньевич: 1.089
Фоминых, Юрий Федорович: 1.089
Шубников, Алексей Васильевич: 1.088
Голузин, Геннадий Михайлович: 1.088
Сарымсаков, Ташмухамед Алиевич: 1.088
Умов, Николай Алексеевич: 1.082
Червоненкис, Алексей Яковлевич: 1.081
Малинин, Александр Фёдорович: 1.08
Пименов, Револьт Иванович: 1.08
Шень, Александр: 1.08
Шишмарёв, Илья Андреевич: 1.079
Aleksidze, Merab: 1.079
Махнёв, Александр Алексеевич: 1.079
Петунин, Юрий Иванович: 1.078
Петросян, Леон Аганесович: 1.071
Игнатовский, Владимир Сергеевич: 1.071
Вербицкий, Михаил Сергеевич: 1.054
Успенский, Яков Викторович: 1.052
Шоргин, Сергей Яковлевич: 1.046
Васин, Александр Алексеевич: 1.038
Брадис, Владимир Модестович: 1.028
Мейман, Наум Натанович: 1.023
Плеснер, Абрам Иезекиилович: 1.014
Шагинян, Арташес Липаритович: 1.014
Шифрин, Борис Фридманович: 1.008
Бильфингер, Георг Бернгард: 1.004
Голубев, Владимир Васильевич: 1.004
Журавский, Дмитрий Иванович: 1.004
Лопатинский, Ярослав Борисович: 1.004
Забродин, Алексей Валериевич: 0.998
Яглом, Исаак Моисеевич: 0.995
Чудаков, Николай Григорьевич: 0.995
Шмульян, Витольд Львович: 0.995
Зейлигер, Дмитрий Николаевич: 0.995
Кит, Борис Владимирович: 0.992
Радыно, Яков Валентинович: 0.989
Садовничий, Юрий Викторович: 0.989
Садовничая, Инна Викторовна: 0.989
Попов, Георгий Николаевич: 0.989
Успенский, Пётр Демьянович: 0.986
Бунимович, Леонид Абрамович: 0.985
Горгидзе, Алексей Ясонович: 0.985
Розенберг, Вера Михайловна: 0.985
