Франке, Ян: 0.0
Осипов, Михаил Павлович: 0.45
Гернет, Надежда Николаевна: 0.452
Оганесян, Леонард: 0.469
Брегман, Лев: 0.469
Скворцов, Владимир Викторович: 0.47
Клепцын, Виктор: 0.47
Мещерский, Иван: 0.471
Мироненко, Владимир Иванович: 0.478
Гирсанов, Игорь Владимирович: 0.478
Николенко, Сергей Игоревич: 0.48
Чесноков, Сергей: 0.48
Q13028344: 0.48
Твардовский, Осип Петрович: 0.48
Ахвледиани, Александр: 0.48
Шишкин, Николай Иванович: 0.48
Шень, Александр: 0.48
Мосолов, Пётр Петрович: 0.48
Аксёнов, Митрофан Семёнович: 0.48
Баврин, Иван Иванович: 0.48
Поташёв, Максим: 0.488
Касьянов, Виктор Николаевич: 0.489
Кваша, Гершко Иосифович: 0.489
Лёвшин, Владимир Артурович: 0.489
Фусс, Павел Николаевич: 0.489
Шохор-Троцкий, Семён Ильич: 0.489
Q6462767: 0.489
Потапов, Владимир: 0.489
Гаврилов, Гарий Петрович: 0.489
Stakhov, Alexey: 0.489
Яницкий, Станислав Людвигович: 0.489
Крылов, Владимир Иванович: 0.489
Тормасов, Александр Геннадьевич: 0.489
Левин, Андрей Михайлович: 0.489
Веретенников, Виктор Григорьевич: 0.489
Лойко, Михаил Фёдорович: 0.489
Маканин, Владимир Семёнович: 0.493
Коровкин, Павел Петрович: 0.498
Салтыков, Николай Николаевич: 0.498
Даватц, Владимир: 0.498
Лефевр, Владимир Александрович: 0.498
Палто, Сергей Петрович: 0.498
Могильницкий, Вадим Анатольевич: 0.498
Воронин, Сергей Михайлович: 0.508
Этингоф, Павел Ильич: 0.508
Бобынин, Виктор Викторович: 0.508
Лавут, Александр Павлович: 0.508
Мышкис, Анатолий Дмитриевич: 0.508
Шабат, Борис Владимирович: 0.508
Соколов, Иван Дмитриевич: 0.508
Девингталь, Юрий Владимирович: 0.508
Андреевский, Михаил Аркадьевич: 0.509
Гиновян, Мамикон: 0.509
Мажорова, Ольга Семёновна: 0.509
Романюха, Алексей Алексеевич: 0.509
Сетуха, Алексей Викторович: 0.509
Магницкий, Николай Александрович: 0.509
Шоломов, Лев Абрамович: 0.509
Zabavsky, Bohdan: 0.509
Пентус, Мати Рейнович: 0.509
Баранаускас, Антанас: 0.51
Челкак, Дмитрий Сергеевич: 0.517
Адодуров, Василий Евдокимович: 0.518
Никольский, Николай: 0.518
Москатов, Генрих Карлович: 0.519
Alıquliyev, Ramiz: 0.519
Енгибарян, Норайр: 0.519
Лаппо-Данилевский, Иван Александрович: 0.519
Aslanov, Ramiz: 0.519
Дубинин, Владимир Николаевич: 0.519
Нахапетян, Борис : 0.519
Шахбагян, Ромен: 0.519
Аров, Дамир Зямович: 0.519
Adamyan, Vanik: 0.519
Q78441947: 0.519
Бозоян, Шура : 0.519
Крафт, Георг Вольфганг: 0.527
Сонин, Николай Яковлевич: 0.527
Делоне, Николай Борисович: 0.527
Сендеров, Валерий Анатольевич: 0.527
Онищик, Аркадий Львович: 0.527
Машковский, Кароль: 0.528
Самко, Стефан Григорьевич: 0.528
Дьяконов, Александр Геннадьевич: 0.528
Плющ, Леонид Иванович: 0.536
Бондарева, Ольга Николаевна: 0.536
Кузнецова, Татьяна Ивановна: 0.538
Браверман, Елена Яновна: 0.538
Пегов, Валентин Иванович: 0.538
Бобров, Сергей Павлович: 0.546
Линделёф, Лоренц: 0.546
Сатаров, Георгий Александрович: 0.546
Polishchuk, Vyacheslav Kalashnikov: 0.548
Пажитнов, Алексей Леонидович: 0.55
Бубнов, Иван Григорьевич: 0.554
Каток, Анатолий Борисович: 0.556
Базен, Пьер-Доминик: 0.556
Кон-Фоссен, Стефан Эммануилович: 0.573
Эйлер, Иоганн Альбрехт: 0.574
Алексеев, Виссарион Григорьевич: 0.576
Васильев, Николай Александрович: 0.584
Ильяшенко, Юлий: 0.584
Поссе, Константин Александрович: 0.584
Колосов, Гурий Васильевич: 0.595
Кузин, Лев Тимофеевич: 0.599
Измайлов, Валентин Денисович: 0.599
Цветков, Яков Яковлевич: 0.6
Борухов, Валентин Терентьевич: 0.6
Слинько, Аркадий Михайлович: 0.6
Субботин, Михаил Фёдорович: 0.603
Волков, Александр Мелентьевич: 0.605
Антипин, Анатолий Сергеевич: 0.609
Асанов, Магаз Оразкимович: 0.609
Беклемишев, Лев Дмитриевич: 0.609
Волков, Александр Александрович (математик): 0.609
Вольфенгаген, Вячеслав Эрнстович: 0.609
Глебский, Юрий Васильевич: 0.609
Закарин, Аскар Закарьевич: 0.609
Кабак, Валерий Иванович: 0.609
Карастелев, Корнелий Иванович: 0.609
Котов, Иван Иванович (математик): 0.609
Кружков, Станислав Николаевич: 0.609
Минятов, Александр Константинович: 0.609
Мирзаджанзаде, Азад Халил оглы: 0.609
Оловянишников, Сергей Пантелеймонович: 0.609
Россинский, Сергей Дмитриевич: 0.609
Скоробогатов, Алексей Николаевич: 0.609
Флёров, Юрий Арсениевич: 0.609
Хованов, Николай Васильевич: 0.609
Шананин, Александр Алексеевич: 0.609
Шестаков, Иван Павлович: 0.609
Андон, Филипп Илларионович: 0.609
Березанский, Юрий Макарович: 0.609
Бондаренко, Виталий Михайлович: 0.609
Гаращенко, Фёдор Георгиевич: 0.609
Кильчевский, Николай: 0.609
Бобков, Владимир Васильевич: 0.609
Никитин, Василий Никитич: 0.609
Шилькрут, Давид Исаакович: 0.609
Чижов, Дмитрий Семёнович: 0.609
Гайцгори, Владимир: 0.609
Лобанов, Семён: 0.609
Мнёв, Николай: 0.609
Maranjyan, Hrant: 0.609
Q20509711: 0.609
Архангельский, Николай Михеевич: 0.609
Шрира, Виктор Исаевич: 0.609
Манаков, Сергей Валентинович: 0.609
Буфетов, Александр Игоревич: 0.609
Плотников, Павел Игоревич: 0.609
Крутов, Виталий Иванович: 0.609
Шефель, Самуил Зусевич: 0.609
Шклярский, Давид Оскарович: 0.609
Чирка, Евгений Михайлович: 0.609
Рассказова, Вера Владимировна: 0.609
Левкович-Маслюк, Леонид: 0.609
Гречина, Григорий Власьевич: 0.609
Q64005353: 0.609
Пак, Витольд Витольдович: 0.618
Бусленко, Николай Пантелеймонович: 0.618
Власов, Алексей Константинович: 0.619
Воронель, Александр Владимирович: 0.619
Геронимус, Александр Юрьевич: 0.619
Глейзер, Герш Исаакович: 0.619
Заморзаев-Орлеанский, Александр Михайлович: 0.619
Зернов, Николай Ефимович: 0.619
Кипнис, Михаил Маркович: 0.619
Костюченко, Анатолий: 0.619
Крупник, Наум Яковлевич: 0.619
Куликовский, Андрей Геннадиевич: 0.619
Латипов, Халим Рафикович: 0.619
Мартышко, Пётр Сергеевич: 0.619
Миллионщиков, Владимир Михайлович: 0.619
Садыхов, Мисреддин Аллахверди оглы: 0.619
Стронгин, Роман Григорьевич: 0.619
Татаринов, Ярослав Всеволодович: 0.619
Трещёв, Дмитрий Валерьевич: 0.619
Ушаков, Владимир Николаевич: 0.619
Фельдман, Александр Маркович: 0.619
Худяев, Сергей Иванович: 0.619
Шокин, Юрий Иванович: 0.619
Шостак, Александр Петрович: 0.619
Шумейко, Александр Алексеевич: 0.619
Юдович, Виктор Иосифович: 0.619
Пентковский, Мстислав Вячеславович: 0.619
Венков, Борис Алексеевич: 0.619
Дяченко, Никита Андреевич: 0.619
Канель-Белов, Алексей Яковлевич: 0.619
Куфарев, Павел Парфеньевич: 0.619
Назимов, Пётр: 0.619
Акбергенов, Ибадулла: 0.619
Фурсиков, Андрей Владимирович: 0.619
Иванилов, Юрий Павлович: 0.619
Панюков, Анатолий Васильевич: 0.619
Чернявский, Владимир Соломонович: 0.619
Горбунов, Виктор: 0.619
Быковский, Виктор Алексеевич: 0.619
Тартаковский, Владимир Абрамович: 0.619
Дядькин, Иосиф Гецелевич: 0.619
Белинский, Павел Петрович: 0.619
Моттль, Вадим Вячеславович: 0.619
Вороненко, Андрей Анатольевич: 0.619
Блажеевский, Ромуальд Осипович: 0.619
Солонников, Всеволод Алексеевич: 0.619
Нейштадт, Анатолий Исерович: 0.619
Борисов, Владимир Фёдорович: 0.619
Балк, Марк Беневич: 0.619
Чернеевский, Николай Степанович: 0.619
Конторович, Пётр Григорьевич: 0.619
Толстых, Андрей Игоревич: 0.619
Шкредов, Илья Дмитриевич: 0.619
Добронравов, Сергей Георгиевич: 0.619
Зелинский, Юрий Борисович: 0.619
Галяев, Андрей Алексеевич: 0.619
Пржиялковский, Виктор Владимирович: 0.619
Перельман, Яков Исидорович: 0.626
Вильбрехт, Александр Михайлович: 0.628
Висковатов, Василий Иванович: 0.628
Гварамия, Алеко Алексеевич: 0.628
Гудивок, Пётр Михайлович: 0.628
Джураев, Абдухамид Джураевич: 0.628
Жаутыков, Орымбек Ахметбекович: 0.628
Зубов, Владимир Иванович: 0.628
Котельников, Пётр Иванович: 0.628
Котельников, Семён Кириллович: 0.628
Непейвода, Николай Николаевич: 0.628
Янишевский, Эраст Петрович: 0.628
Мучник, Альберт: 0.628
Скопин, Александр Иванович: 0.628
